,ID_t,S_1_lat,S_1_lon,lat_t,lon_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols
0,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,10924.0,49.5063,-114.4637,0.002000385400606,10924,0.000142864430884,0.002852650757571,0.071418453084481,0.002852650757571,0.071418453084477,56.0,89.0
1,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11713.0,49.6545,-114.4493,0.002004517627938,11713,0.002004517627938,0.040025279172124,1.0,0.040025279172124,1.0,60.0,90.0
2,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11714.0,49.661,-114.3946,0.00200443758149,11714,0.00031228753394,0.006235612774711,0.155798083623712,0.006235612774711,0.155798083623715,60.0,91.0
3,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11910.0,49.6899,-114.4594,0.002005457907217,11910,0.002005457907217,0.040044054233064,1.0,0.040044054233064,1.0,61.0,90.0
4,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11911.0,49.6965,-114.4046,0.002005594447837,11911,0.00050132177765,0.010010160961337,0.249961690006863,0.010010160961336,0.249961690006868,61.0,91.0
5,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,12107.0,49.7254,-114.4695,0.002006373237236,12107,0.001488232002449,0.029716327030852,0.74175231947327,0.029716327030852,0.741752319473281,62.0,90.0
6,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,12108.0,49.7319,-114.4146,0.002006584334595,12108,7.6067491415e-05,0.00151888042159,0.037908943124665,0.00151888042159,0.037908943124664,62.0,91.0
7,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11511.0,49.5863,-114.7126,0.002002127548622,11511,0.001677490689806,0.033495356804216,0.83785405728077,0.033495356804216,1.0,59.0,85.0
8,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11513.0,49.5995,-114.6033,0.002002827543038,11513,0.002002827543038,0.039991532339957,1.0,0.039991532339957,1.0,59.0,87.0
9,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11514.0,49.606,-114.5486,0.002003264649829,11514,0.002003264649829,0.040000260285833,1.0,0.040000260285833,1.0,59.0,88.0
10,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11707.0,49.6151,-114.7774,0.002003158984735,11707,8.515558289e-06,0.000170034722113,0.00425106462055,0.000170034722113,1.0,60.0,84.0
11,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11708.0,49.6217,-114.7228,0.002003323512326,11708,0.001243822270687,0.024836066757842,0.620879385198409,0.024836066757842,1.0,60.0,85.0
12,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11709.0,49.6283,-114.6681,0.002003647990932,11709,0.001745985017144,0.034863019794657,0.871403073317278,0.034863019794657,1.0,60.0,86.0
13,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11710.0,49.6349,-114.6134,0.002003800884268,11710,0.002003800884268,0.040010967566623,1.0,0.040010967566623,1.0,60.0,87.0
14,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11711.0,49.6415,-114.5587,0.0020037928698,11711,0.0020037928698,0.040010807537453,1.0,0.040010807537453,1.0,60.0,88.0
15,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11906.0,49.6637,-114.6783,0.002004667658184,11906,0.000440583918565,0.008797375534916,0.219779032582671,0.008797375534916,1.0,61.0,86.0
16,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11907.0,49.6703,-114.6236,0.002004899411986,11907,0.002004899411986,0.040032902459088,1.0,0.040032902459088,1.0,61.0,87.0
17,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11908.0,49.6769,-114.5688,0.002004997186305,11908,0.002004997186305,0.040034854771373,1.0,0.040034854771373,1.0,61.0,88.0
18,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,11909.0,49.6834,-114.5141,0.002005119607929,11909,0.002005119607929,0.040037299229652,1.0,0.040037299229652,1.0,61.0,89.0
19,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,12103.0,49.6991,-114.6885,0.002005586920859,12103,7.9843618867e-05,0.001594280384838,0.039810600097684,0.001594280384838,1.0,62.0,86.0
20,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,12104.0,49.7057,-114.6338,0.002005759059102,12104,0.00132222041912,0.026401484658824,0.659211989156639,0.026401484658824,1.0,62.0,87.0
21,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,12105.0,49.7123,-114.579,0.002005977785302,12105,0.001976363589811,0.039463112384395,0.985237027195605,0.039463112384395,0.985237027195611,62.0,88.0
22,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,12106.0,49.7188,-114.5242,0.002006241433264,12106,0.00183181927317,0.036576918446423,0.913060234325697,0.036576918446423,0.913060234325675,62.0,89.0
23,1,49.627953,-114.565641,49.635051171786294,-114.55387726626167,0.050081290359475,1,12301.0,49.7411,-114.644,0.002006878468819,12301,0.000276414355784,0.005519313775668,0.137733480167787,0.005519313775668,0.308967604153178,63.0,87.0
