,S_1_ID,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
23,9,49.755271,-110.453105,9,49.75909906423531,-110.45716094447312,9,202646452.48913288,9,48820.0,49.75,-110.5,500973365.38724244,48820,169765945.75915062,0.8377444740526829,0.33887219858070683,0.8377444740526824,1.0
25,9,49.755271,-110.453105,9,49.75909906423531,-110.45716094447312,9,202646452.48913288,9,48339.0,50.0,-110.5,498415313.3194773,48339,3594146.025183058,0.017736042161289736,0.007211146867149445,0.017736042161289725,1.0
26,10,50.045802,-110.884207,10,50.05516314738838,-110.88055263079325,10,162918404.83202454,10,48338.0,50.0,-110.75,498415313.3195158,48338,73141611.98577912,0.4489462811840754,0.1467483242010478,0.4489462811840761,1.0
27,10,50.045802,-110.884207,10,50.05516314738838,-110.88055263079325,10,162918404.83202454,10,48337.0,50.0,-111.0,498415313.3195158,48337,89776792.84624518,0.5510537188159231,0.18012446738106652,0.5510537188159239,0.3224066014334486
28,11,51.443713,-116.202147,11,51.4439615453722,-116.20146475608573,11,12548210.001208393,11,45430.0,51.5,-116.25,482862192.65593123,45430,12548210.001208391,0.9999999999999999,0.025987145384459114,1.0,0.02959244531518245
32,12,51.026316,-115.474582,12,51.02992341990524,-115.47589453751375,12,272524667.6624539,12,46395.0,51.0,-115.5,488085265.9845351,46395,247277431.59888315,0.9073579787102366,0.5066275276720156,0.9073579787102362,0.527670932984052
31,12,51.026316,-115.474582,12,51.02992341990524,-115.47589453751375,12,272524667.6624539,12,46396.0,51.0,-115.25,488085265.9844974,46396,3809439.6611457844,0.013978329718996723,0.007804865105816941,0.013978329718996716,0.007804865105816938
29,12,51.026316,-115.474582,12,51.02992341990524,-115.47589453751375,12,272524667.6624539,12,45914.0,51.25,-115.5,485478527.57161736,45914,21437796.402425084,0.07866369157076712,0.044158073292464205,0.07866369157076708,0.044158073292464184
33,13,51.106718,-114.267667,13,51.11904676599336,-114.29065071629343,13,280314790.122463,13,45919.0,51.25,-114.25,485478527.57157993,45919,77498436.44580795,0.27646930942156384,0.15963308785965086,0.27646930942156395,0.16625290201854215
35,13,51.106718,-114.267667,13,51.11904676599336,-114.29065071629343,13,280314790.122463,13,45918.0,51.25,-114.5,485478527.5715798,45918,55670542.53501136,0.19860008995847203,0.11467148261630004,0.19860008995847211,0.1302806257759293
37,13,51.106718,-114.267667,13,51.11904676599336,-114.29065071629343,13,280314790.122463,13,46399.0,51.0,-114.5,488085265.98449737,46399,23149779.754050627,0.08258493868246135,0.0474297860791928,0.08258493868246139,0.0474297860791928
38,13,51.106718,-114.267667,13,51.11904676599336,-114.29065071629343,13,280314790.122463,13,46400.0,51.0,-114.25,488085265.9844974,46400,102327309.69317582,0.3650442762883521,0.20965047876783469,0.3650442762883523,0.2096504787678349
36,13,51.106718,-114.267667,13,51.11904676599336,-114.29065071629343,13,280314790.122463,13,46401.0,51.0,-114.0,488085265.9844974,46401,21668721.694417134,0.07730138564915029,0.04439536122998922,0.07730138564915032,0.044914118631372596
39,14,51.184567,-114.493823,14,51.18629317113412,-114.49299469394002,14,14076571.978358,14,45918.0,51.25,-114.5,485478527.5715798,45918,14076571.978358,1.0,0.02899525144555961,1.0,0.03294210048280101
41,15,50.997775,-114.152185,15,50.99288810466656,-114.14724014202876,15,46207022.31994676,15,46400.0,51.0,-114.25,488085265.9844974,46400,33410146.953871347,0.7230534511082047,0.06845145568260715,0.7230534511082041,0.06845145568260722
40,15,50.997775,-114.152185,15,50.99288810466656,-114.14724014202876,15,46207022.31994676,15,46401.0,51.0,-114.0,488085265.9844974,46401,12796875.366075447,0.27694654889179604,0.026218524216795148,0.2769465488917958,0.02652488625809833
44,16,50.912038,-114.694114,16,50.90974389480583,-114.69500405150077,16,172761399.77895576,16,46398.0,51.0,-114.75,488085265.98457277,46398,109776118.29743083,0.6354204031565318,0.22491176429181658,0.6354204031565311,0.22491176429181647
45,16,50.912038,-114.694114,16,50.90974389480583,-114.69500405150077,16,172761399.77895576,16,46399.0,51.0,-114.5,488085265.98449737,46399,20067638.48495458,0.11615811466352242,0.04111502617166069,0.1161581146635223,0.04111502617166069
42,16,50.912038,-114.694114,16,50.90974389480583,-114.69500405150077,16,172761399.77895576,16,46879.0,50.75,-114.75,490682360.6476109,46879,42917642.996570535,0.24842148217994686,0.08746522483491581,0.24842148217994658,0.08746522483491583
46,17,51.027998,-114.238248,17,51.02812401924084,-114.23785506819787,17,74713604.03712074,17,46400.0,51.0,-114.25,488085265.9844974,46400,74713604.03712074,1.0,0.15307490154700512,1.0,0.1530749015470053
49,18,50.547374,-114.033545,18,50.54108202873088,-114.04791161000374,18,142519992.87659532,18,47363.0,50.5,-114.0,493269764.55680233,47363,121688004.45776834,0.8538311152115696,0.24669666215423466,0.8538311152115703,0.24669666215423455
48,18,50.547374,-114.033545,18,50.54108202873088,-114.04791161000374,18,142519992.87659532,18,47364.0,50.5,-113.75,493269764.5568404,47364,10939.128667100995,7.675504640652716e-05,2.2176767061587166e-05,7.675504640652721e-05,2.217676706158717e-05
47,18,50.547374,-114.033545,18,50.54108202873088,-114.04791161000374,18,142519992.87659532,18,47362.0,50.5,-114.25,493269764.55680233,47362,20821049.29015977,0.1460921297420231,0.04221026867289801,0.1460921297420232,0.04221026867289799
52,19,50.721423,-114.110602,19,50.716939625270584,-114.1112896420926,19,252905316.15652624,19,46881.0,50.75,-114.25,490682360.64753515,46881,113892318.22877407,0.450335801396459,0.23211007234593606,0.45033580139645973,0.2321100723459361
53,19,50.721423,-114.110602,19,50.716939625270584,-114.1112896420926,19,252905316.15652624,19,46882.0,50.75,-114.0,490682360.64753515,46882,138028960.94424653,0.545773268201364,0.28130002627788553,0.5457732682013648,0.2812969074465524
50,19,50.721423,-114.110602,19,50.716939625270584,-114.1112896420926,19,252905316.15652624,19,47362.0,50.5,-114.25,493269764.55680233,47362,984036.9835052472,0.0038909304021755497,0.0019949266186817553,0.003890930402175556,0.0019949266186817544
58,20,50.640856,-114.525462,20,50.63193528964241,-114.53147880076567,20,382352906.76231164,20,46881.0,50.75,-114.25,490682360.64753515,46881,70344780.39806537,0.18397867298494205,0.14336113551184926,0.18397867298494208,0.14336113551184929
54,20,50.640856,-114.525462,20,50.63193528964241,-114.53147880076567,20,382352906.76231164,20,47362.0,50.5,-114.25,493269764.55680233,47362,8353691.017819222,0.02184811693614838,0.016935339682384396,0.021848116936148382,0.01693533968238439
55,20,50.640856,-114.525462,20,50.63193528964241,-114.53147880076567,20,382352906.76231164,20,47361.0,50.5,-114.5,493269764.55680233,47361,91103666.42387941,0.2382711490160416,0.1846933928856051,0.23827114901604163,0.18469339288560513
56,20,50.640856,-114.525462,20,50.63193528964241,-114.53147880076567,20,382352906.76231164,20,47360.0,50.5,-114.75,493269764.55687845,47360,47766532.180292875,0.12492786463890224,0.09683652964864617,0.12492786463890225,0.09912223570905658
57,20,50.640856,-114.525462,20,50.63193528964241,-114.53147880076567,20,382352906.76231164,20,46879.0,50.75,-114.75,490682360.6476109,46879,75415310.97557038,0.19724006184279397,0.1536947667652776,0.197240061842794,0.15369476676527763
59,20,50.640856,-114.525462,20,50.63193528964241,-114.53147880076567,20,382352906.76231164,20,46880.0,50.75,-114.5,490682360.6475352,46880,89368925.76668434,0.23373413458117168,0.18213193082536633,0.2337341345811717,0.1821319308253663
61,21,50.806748,-113.534063,21,50.80265944397602,-113.53316526579297,21,39450542.436750025,21,46884.0,50.75,-113.5,490682360.64761096,46884,38688263.38543151,0.9806776027847868,0.07884584099247033,0.9806776027847866,0.07884584099247033
60,21,50.806748,-113.534063,21,50.80265944397602,-113.53316526579297,21,39450542.436750025,21,46883.0,50.75,-113.75,490682360.64757305,46883,762279.0513185161,0.019322397215213383,0.0015535081601721042,0.01932239721521338,0.0015534908962604643
62,22,50.769577,-112.594406,22,50.77044493331629,-112.60050024055907,22,61289810.563021034,22,46887.0,50.75,-112.75,490682360.64753515,46887,20220968.236621793,0.32992381687702643,0.041209894339663926,0.32992381687702776,0.04225740174571024
63,22,50.769577,-112.594406,22,50.77044493331629,-112.60050024055907,22,61289810.563021034,22,46888.0,50.75,-112.5,490682360.64757305,46888,41068842.326399,0.6700761831229696,0.08369740920011637,0.6700761831229722,0.2006176466472244
64,23,50.087364,-111.593842,23,50.09099361853964,-111.6050716424679,23,105643100.66017246,23,48335.0,50.0,-111.5,498415313.3194774,48335,61070448.87329733,0.5780827000690348,0.12252923865152597,0.5780827000690345,0.1735001283722925
66,23,50.087364,-111.593842,23,50.09099361853964,-111.6050716424679,23,105643100.66017246,23,47854.0,50.25,-111.5,495847430.95242256,47854,6726703.263672868,0.06367385301678144,0.013566074650729221,0.0636738530167814,0.018454828572276077
67,23,50.087364,-111.593842,23,50.09099361853964,-111.6050716424679,23,105643100.66017246,23,47853.0,50.25,-111.75,495847430.9524226,47853,5583669.071684398,0.05285408168438439,0.011260861150292336,0.05285408168438435,0.01126799025956156
65,23,50.087364,-111.593842,23,50.09099361853964,-111.6050716424679,23,105643100.66017246,23,48334.0,50.0,-111.75,498415313.3194773,48334,32262279.451517936,0.30538936522980004,0.06472971152641585,0.3053893652297998,0.06472971152641582
69,24,51.661597,-116.39039,24,51.65756759068387,-116.38211990420001,24,190199809.02804884,24,45430.0,51.5,-116.25,482862192.65593123,45430,26277784.827922255,0.13815883918183672,0.05442087872604841,0.1381588391818368,0.0619709034555156
71,24,51.661597,-116.39039,24,51.65756759068387,-116.38211990420001,24,190199809.02804884,24,44949.0,51.75,-116.25,480236308.72817594,44949,69438037.25752191,0.36507942680048566,0.14459139385236558,0.3650794268004859,0.5158820639858281
68,24,51.661597,-116.39039,24,51.65756759068387,-116.38211990420001,24,190199809.02804884,24,45429.0,51.5,-116.5,482862192.65585667,45429,676588.8391796098,0.003557252989038664,0.0014012048353966389,0.003557252989038666,0.010867729605919283
70,24,51.661597,-116.39039,24,51.65756759068387,-116.38211990420001,24,190199809.02804884,24,44948.0,51.75,-116.5,480236308.72810173,44948,93807398.10342497,0.4932044810286384,0.19533591358777594,0.4932044810286387,0.9794425946244136
73,25,51.590304,-116.409911,25,51.59167988910072,-116.41080766218796,25,68370710.23062499,25,45430.0,51.5,-116.25,482862192.65593123,45430,14089396.988554168,0.20607357947618873,0.029178919374608654,0.20607357947618885,0.03322702679246955
72,25,51.590304,-116.409911,25,51.59167988910072,-116.41080766218796,25,68370710.23062499,25,45429.0,51.5,-116.5,482862192.65585667,45429,52312400.77482188,0.7651288190273884,0.10833815852736628,0.7651288190273888,0.8402695902382835
74,25,51.590304,-116.409911,25,51.59167988910072,-116.41080766218796,25,68370710.23062499,25,44948.0,51.75,-116.5,480236308.72810173,44948,1968912.4412448234,0.02879760111608285,0.00409988250671728,0.028797601116082868,0.02055740537558636
75,25,51.590304,-116.409911,25,51.59167988910072,-116.41080766218796,25,68370710.23062499,25,44949.0,51.75,-116.25,480236308.72817594,44949,0.02600407787087747,3.8033944335464254e-10,5.414850438890146e-11,3.8033944335464275e-10,1.9319436282918953e-10
77,26,51.485761,-116.321848,26,51.482650109314434,-116.31900422653995,26,67701268.99106313,26,45430.0,51.5,-116.25,482862192.65593123,45430,58433571.72438501,0.8631089578557013,0.12101500720728925,0.8631089578556997,0.13780389997124162
76,26,51.485761,-116.321848,26,51.482650109314434,-116.31900422653995,26,67701268.99106313,26,45429.0,51.5,-116.5,482862192.65585667,45429,9267697.266678242,0.13689104214430042,0.019193255151544807,0.13689104214430017,0.14886268015579718
78,27,51.518894,-116.277158,27,51.524047866294744,-116.28112608968719,27,84387097.72671968,27,45430.0,51.5,-116.25,482862192.65593123,45430,84387097.72671968,1.0,0.1747643510098763,1.0,0.19901010379523673
82,28,51.540156,-116.19577,28,51.54690983303619,-116.19610952185364,28,139447922.80963522,28,44949.0,51.75,-116.25,480236308.72817594,44949,8564526.383479793,0.06141738228092145,0.017833983453190955,0.061417382280921466,0.06362918253845118
80,28,51.540156,-116.19577,28,51.54690983303619,-116.19610952185364,28,139447922.80963522,28,45430.0,51.5,-116.25,482862192.65593123,45430,128052280.5279963,0.9182803009751858,0.26519425723446804,0.918280300975186,0.3019857102044209
79,28,51.540156,-116.19577,28,51.54690983303619,-116.19610952185364,28,139447922.80963522,28,45431.0,51.5,-116.0,482862192.65589404,45431,2831115.8981590928,0.02030231674389255,0.005863196458987738,0.020302316743892553,0.011018545605742076
84,29,51.616307,-116.138728,29,51.610921438792,-116.13414496871646,29,162287029.68502644,29,45430.0,51.5,-116.25,482862192.65593123,45430,25563133.835782986,0.15751803385271765,0.05294084777102911,0.15751803385271765,0.06028554192568101
85,29,51.616307,-116.138728,29,51.610921438792,-116.13414496871646,29,162287029.68502644,29,44950.0,51.75,-116.0,480236308.72813886,44950,19867450.388267945,0.12242167736280304,0.04137015470755437,0.12242167736280304,1.0
83,29,51.616307,-116.138728,29,51.610921438792,-116.13414496871646,29,162287029.68502644,29,45431.0,51.5,-116.0,482862192.65589404,45431,60258405.41435912,0.3713075871270255,0.12479420905355817,0.3713075871270255,0.23452236223149506
86,29,51.616307,-116.138728,29,51.610921438792,-116.13414496871646,29,162287029.68502644,29,44949.0,51.75,-116.25,480236308.72817594,44949,56598040.04661637,0.34875270165745376,0.11785456246843691,0.34875270165745376,0.4204887532825264
90,30,51.406179,-116.179142,30,51.40251959584031,-116.18069525727516,30,146395584.6566669,30,45430.0,51.5,-116.25,482862192.65593123,45430,74682762.41569795,0.5101435442253748,0.15466682534185064,0.5101435442253752,0.17612436854025218
87,30,51.406179,-116.179142,30,51.40251959584031,-116.18069525727516,30,146395584.6566669,30,45911.0,51.25,-116.25,485478527.5716548,45911,33856867.72489837,0.23126973265143838,0.06973916620833703,0.23126973265143855,0.33902849818515324
89,30,51.406179,-116.179142,30,51.40251959584031,-116.18069525727516,30,146395584.6566669,30,45431.0,51.5,-116.0,482862192.65589404,45431,36903682.0316524,0.25208193346951324,0.07642694456708349,0.25208193346951346,0.14362707784233436
88,30,51.406179,-116.179142,30,51.40251959584031,-116.18069525727516,30,146395584.6566669,30,45912.0,51.25,-116.0,485478527.57161736,45912,952272.4844180674,0.0065047896536728,0.001961513085205584,0.0065047896536728055,0.0024809911898055425
91,31,51.325,-116.178773,31,51.325316806821604,-116.18248356934443,31,59790554.504644245,31,45911.0,51.25,-116.25,485478527.5716548,45911,57496801.2915423,0.9616368633456347,0.11843325301973523,0.9616368633456338,0.5757488953411528
92,31,51.325,-116.178773,31,51.325316806821604,-116.18248356934443,31,59790554.504644245,31,45912.0,51.25,-116.0,485478527.57161736,45912,2293753.2131019984,0.03836313665436621,0.004724726394338061,0.03836313665436618,0.005976001203869545
95,32,51.357748,-116.095025,32,51.35268459418695,-116.09768103954599,32,26496976.726241052,32,45431.0,51.5,-116.0,482862192.65589404,45431,4367423.870054134,0.16482725237588686,0.009044866084942224,0.16482725237588694,0.016997770781157124
94,32,51.357748,-116.095025,32,51.35268459418695,-116.09768103954599,32,26496976.726241052,32,45912.0,51.25,-116.0,485478527.57161736,45912,19879091.637616135,0.7502399931509562,0.04094741684467927,0.7502399931509566,0.05179174240700861
93,32,51.357748,-116.095025,32,51.35268459418695,-116.09768103954599,32,26496976.726241052,32,45911.0,51.25,-116.25,485478527.5716548,45911,2250461.2185707726,0.08493275447315647,0.004635552533759823,0.08493275447315651,0.02253517641842839
98,33,51.424704,-116.019156,33,51.4326640821781,-116.01999546717,33,124238933.98844913,33,45431.0,51.5,-116.0,482862192.65589404,45431,114316796.89606331,0.9201366530293289,0.23674828685030183,0.9201366530293321,0.4449146150889387
97,33,51.424704,-116.019156,33,51.4326640821781,-116.01999546717,33,124238933.98844913,33,45912.0,51.25,-116.0,485478527.57161736,45912,9922137.092385389,0.07986334697066767,0.020437849521412012,0.07986334697066795,0.025850515596168033
99,34,51.280318,-116.002241,34,51.278497490859934,-115.9878019425737,34,254099246.32852316,34,45911.0,51.25,-116.25,485478527.5716548,45911,6260240.7725495575,0.02463699071525673,0.012894990029452064,0.024636990715256723,0.06268743005526543
101,34,51.280318,-116.002241,34,51.278497490859934,-115.9878019425737,34,254099246.32852316,34,45912.0,51.25,-116.0,485478527.57161736,45912,231576921.2611482,0.9113640619057327,0.4770075463883131,0.9113640619057325,0.6033360312435169
102,34,51.280318,-116.002241,34,51.278497490859934,-115.9878019425737,34,254099246.32852316,34,45431.0,51.5,-116.0,482862192.65589404,45431,419594.19393241464,0.001651300426880937,0.0008689729705788612,0.0016513004268809365,0.0016330372644776448
100,34,51.280318,-116.002241,34,51.278497490859934,-115.9878019425737,34,254099246.32852316,34,45913.0,51.25,-115.75,485478527.5715424,45913,15842490.100893049,0.06234764695212989,0.03263273080302903,0.062347646952129875,0.032632730803029024
105,35,51.338403,-115.87201,35,51.33733265291633,-115.87100131843592,35,123185149.60406727,35,45913.0,51.25,-115.75,485478527.5715424,45913,63869607.351283714,0.5184846351737101,0.13156010765454831,0.51848463517371,0.1315601076545483
107,35,51.338403,-115.87201,35,51.33733265291633,-115.87100131843592,35,123185149.60406727,35,45431.0,51.5,-116.0,482862192.65589404,45431,25283215.61601016,0.2052456460642669,0.0523611415442251,0.20524564606426685,0.0984008688962416
106,35,51.338403,-115.87201,35,51.33733265291633,-115.87100131843592,35,123185149.60406727,35,45912.0,51.25,-116.0,485478527.57161736,45912,34032326.636773415,0.27626971876202316,0.07010058056945268,0.2762697187620231,0.0886656959389274
110,36,51.153506,-115.917057,36,51.15564966537034,-115.90808498246403,36,151484919.65553477,36,45912.0,51.25,-116.0,485478527.57161736,45912,81531049.96780826,0.5382123194388173,0.16793955929550536,0.538212319438818,0.21241589983495063
112,36,51.153506,-115.917057,36,51.15564966537034,-115.90808498246403,36,151484919.65553477,36,46394.0,51.0,-115.75,488085265.9844597,46394,6329319.8028881075,0.04178184744250781,0.01296765185099775,0.04178184744250786,0.03850811577375954
111,36,51.153506,-115.917057,36,51.15564966537034,-115.90808498246403,36,151484919.65553477,36,46393.0,51.0,-116.0,488085265.98453504,46393,22366321.48965051,0.14764718191427786,0.04582461927945022,0.14764718191427803,1.0
109,36,51.153506,-115.917057,36,51.15564966537034,-115.90808498246403,36,151484919.65553477,36,45913.0,51.25,-115.75,485478527.5715424,45913,41258228.395187736,0.2723586512043959,0.08498466163183238,0.27235865120439623,0.08498466163183237
114,37,51.104722,-115.78328,37,51.1068892038598,-115.77672842675268,37,65859281.72896811,37,46394.0,51.0,-115.75,488085265.9844597,46394,53026172.01561122,0.8051434911457246,0.108641206180765,0.8051434911457244,0.32261570510068016
113,37,51.104722,-115.78328,37,51.1068892038598,-115.77672842675268,37,65859281.72896811,37,45913.0,51.25,-115.75,485478527.5715424,45913,12833109.713356908,0.19485650885427563,0.02643393885523755,0.19485650885427558,0.026433938855237545
117,38,51.03811,-115.646715,38,51.04230158964513,-115.64813556746408,38,164317922.02636865,38,46395.0,51.0,-115.5,488085265.9845351,46395,59439177.396126136,0.3617327718311076,0.12178031491327472,0.3617327718311074,0.1268386119575019
116,38,51.03811,-115.646715,38,51.04230158964513,-115.64813556746408,38,164317922.02636865,38,45913.0,51.25,-115.75,485478527.5715424,45913,2006471.2413856112,0.012210909294870623,0.004132976285114749,0.012210909294870618,0.004132976285114748
118,38,51.03811,-115.646715,38,51.04230158964513,-115.64813556746408,38,164317922.02636865,38,46394.0,51.0,-115.75,488085265.9844597,46394,102872273.38885698,0.6260563188740222,0.21076701256565356,0.6260563188740219,0.6258835920662956
119,39,51.203382,-115.773421,39,51.19893507818807,-115.76342854173073,39,129014602.53888966,39,45913.0,51.25,-115.75,485478527.5715424,45913,128215664.296252,0.9938073812815349,0.2641016173003811,0.993807381281535,0.26410161730038106
120,39,51.203382,-115.773421,39,51.19893507818807,-115.76342854173073,39,129014602.53888966,39,45912.0,51.25,-116.0,485478527.57161736,45912,798938.242637656,0.006192618718465045,0.001645671635847576,0.006192618718465046,0.0020815037435362236
121,40,51.146034,-115.675919,40,51.145636380503355,-115.6755593970996,40,8017564.093009329,40,45913.0,51.25,-115.75,485478527.5715424,45913,8017564.093009329,1.0,0.01651476561304315,1.0,0.016514765613043148
122,41,51.409361,-115.749591,41,51.40697074319244,-115.75520494075825,41,255145453.78978658,41,45914.0,51.25,-115.5,485478527.57161736,45914,6398304.949756628,0.025077087812931085,0.013179377843467559,0.025077087812931036,0.013179377843467554
123,41,51.409361,-115.749591,41,51.40697074319244,-115.75520494075825,41,255145453.78978658,41,45913.0,51.25,-115.75,485478527.5715424,45913,48659565.32699655,0.19071304075473353,0.10023010815823538,0.19071304075473314,0.10023010815823535
127,41,51.409361,-115.749591,41,51.40697074319244,-115.75520494075825,41,255145453.78978658,41,45433.0,51.5,-115.5,482862192.655894,45433,4221909.257424284,0.016547068327945596,0.008743507612808645,0.01654706832794556,0.037848741925204835
126,41,51.409361,-115.749591,41,51.40697074319244,-115.75520494075825,41,255145453.78978658,41,45432.0,51.5,-115.75,482862192.6558194,45432,180463984.52341035,0.7072984520903671,0.3737380711685658,0.7072984520903657,0.9717711302078628
124,41,51.409361,-115.749591,41,51.40697074319244,-115.75520494075825,41,255145453.78978658,41,45912.0,51.25,-116.0,485478527.57161736,45912,2840944.3743917975,0.011134607072922574,0.005851843517368961,0.011134607072922551,0.007401618842217112
125,41,51.409361,-115.749591,41,51.40697074319244,-115.75520494075825,41,255145453.78978658,41,45431.0,51.5,-116.0,482862192.65589404,45431,12560745.357807502,0.04922974394110214,0.026013105910652166,0.04922974394110204,0.04888572228961347
131,42,51.403077,-115.561187,42,51.40006096618545,-115.55715921322539,42,94149895.6398437,42,45433.0,51.5,-115.5,482862192.655894,45433,66774688.41045524,0.7092380502033884,0.1382893285622,0.7092380502033876,0.598624412483269
128,42,51.403077,-115.561187,42,51.40006096618545,-115.55715921322539,42,94149895.6398437,42,45914.0,51.25,-115.5,485478527.57161736,45914,22132929.327809058,0.23508182539548697,0.04558992431347857,0.23508182539548672,0.04558992431347855
