,Unnamed: 0,S_1_ID,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
0,0,1,49.627953,-114.565641,1,49.63505117178629,-114.55387726626168,1,402370256.2799627,1,48804.0,49.75,-114.5,500973365.3872424,48804,182461094.9265564,0.453465662729312,0.364213164876575,0.4534656627293117,0.3642131648765748,101.0,222.0,1
1,3,1,49.627953,-114.565641,1,49.63505117178629,-114.55387726626168,1,402370256.2799627,1,49285.0,49.5,-114.5,503521541.1307602,49285,126468391.773606,0.314308500192945,0.2511677881538006,0.3143085001929448,0.2816164037242025,102.0,222.0,1
2,1,1,49.627953,-114.565641,1,49.63505117178629,-114.55387726626168,1,402370256.2799627,1,48803.0,49.75,-114.75,500973365.3873198,48803,30346271.973905087,0.0754187753698937,0.0605746214680362,0.0754187753698937,0.5395811577847786,101.0,221.0,1
3,2,1,49.627953,-114.565641,1,49.63505117178629,-114.55387726626168,1,402370256.2799627,1,49284.0,49.5,-114.75,503521541.1308379,49284,63094497.60589547,0.1568070617078498,0.1253064515654964,0.1568070617078497,1.0,102.0,221.0,1
4,5,2,49.632208,-113.932166,2,49.62911474423079,-113.93466362352784,2,192228087.06900117,2,48806.0,49.75,-114.0,500973365.3872424,48806,93296547.08672091,0.485342951226642,0.1862305534239421,0.4853429512266409,0.1862305534239421,101.0,224.0,1
5,6,2,49.632208,-113.932166,2,49.62911474423079,-113.93466362352784,2,192228087.06900117,2,49287.0,49.5,-114.0,503521541.1307602,49287,75114151.10296445,0.3907553378294915,0.149177631873068,0.3907553378294906,0.1491776318730681,102.0,224.0,1
6,7,2,49.632208,-113.932166,2,49.62911474423079,-113.93466362352784,2,192228087.06900117,2,49288.0,49.5,-113.75,503521541.1307991,49288,19493445.58909934,0.1014078945815138,0.0387142237158738,0.1014078945815136,0.0387142237158738,102.0,225.0,1
7,4,2,49.632208,-113.932166,2,49.62911474423079,-113.93466362352784,2,192228087.06900117,2,48807.0,49.75,-113.75,500973365.3872811,48807,4323943.290216857,0.0224938163623547,0.0086310841832363,0.0224938163623547,0.0086310841832363,101.0,225.0,1
8,8,3,50.125601,-113.151587,3,50.12116945843657,-113.14917239506724,3,59898209.43657938,3,48328.0,50.0,-113.25,498415313.3194773,48328,27016572.404429466,0.4510414027156319,0.0542049405033272,0.4510414027156315,0.0542013251590159,100.0,227.0,1
9,9,3,50.125601,-113.151587,3,50.12116945843657,-113.14917239506724,3,59898209.43657938,3,48329.0,50.0,-113.0,498415313.3194773,48329,6808704.592958577,0.1136712542328611,0.0136607050606294,0.113671254232861,0.0136607050606294,100.0,228.0,1
10,10,3,50.125601,-113.151587,3,50.12116945843657,-113.14917239506724,3,59898209.43657938,3,47848.0,50.25,-113.0,495847430.9524226,47848,1943972.4272789136,0.0324545999882885,0.0039205051915766,0.0324545999882885,0.0039205051915766,99.0,228.0,1
