,ID_t,S_1_lat,S_1_lon,lat_t,lon_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols
28,12,51.026316,-115.474582,51.02992341990524,-115.47589453751375,0.034919444416509,12,45723.0,51.0,-115.5,0.0625,45723,0.031678472211589,0.907187177256814,0.506855555385423,0.907187177256815,0.527868630453576,96.0,218.0
29,12,51.026316,-115.474582,51.02992341990524,-115.47589453751375,0.034919444416509,12,45724.0,51.0,-115.25,0.0625,45724,0.000487499853151,0.01396069901159,0.007799997650413,0.01396069901159,0.007799997650413,96.0,219.0
30,12,51.026316,-115.474582,51.02992341990524,-115.47589453751375,0.034919444416509,12,45244.0,51.25,-115.5,0.0625,45244,0.002753472351769,0.078852123731595,0.044055557628306,0.078852123731595,0.044055557628306,95.0,218.0
31,13,51.106718,-114.267667,51.11904676599336,-114.29065071629343,0.035986111082322,13,45727.0,51.0,-114.5,0.0625,45727,0.002971527626985,0.082574291514492,0.047544442031753,0.082574291514492,0.047544442031753,96.0,222.0
32,13,51.106718,-114.267667,51.11904676599336,-114.29065071629343,0.035986111082322,13,45729.0,51.0,-114.0,0.0625,45729,0.002777777646305,0.077190270433791,0.044444442340878,0.077190270433791,0.044965093690425,96.0,224.0
33,13,51.106718,-114.267667,51.11904676599336,-114.29065071629343,0.035986111082322,13,45728.0,51.0,-114.25,0.0625,45728,0.013128471924929,0.364820524643418,0.210055550798864,0.364820524643418,0.210055550798864,96.0,223.0
34,13,51.106718,-114.267667,51.11904676599336,-114.29065071629343,0.035986111082322,13,45248.0,51.25,-114.5,0.0625,45248,0.007152778122972,0.198764965367044,0.114444449967557,0.198764965367044,0.130063898824907,95.0,222.0
35,13,51.106718,-114.267667,51.11904676599336,-114.29065071629343,0.035986111082322,13,45249.0,51.25,-114.25,0.0625,45249,0.009955555761131,0.276649948041254,0.159288892178099,0.276649948041254,0.165911362048317,95.0,223.0
36,14,51.184567,-114.493823,51.18629317113412,-114.49299469394002,0.001809722220775,14,45248.0,51.25,-114.5,0.0625,45248,0.001809722220775,1.000000000000001,0.028955555532393,1.0,0.032907427544558,95.0,222.0
37,15,50.997775,-114.152185,50.99288810466656,-114.14724014202876,0.005915972217489,15,45729.0,51.0,-114.0,0.0625,45729,0.0016381942943,0.276910410339137,0.026211108708799,0.276910410339137,0.026518162828585,96.0,224.0
38,15,50.997775,-114.152185,50.99288810466656,-114.14724014202876,0.005915972217489,15,45728.0,51.0,-114.25,0.0625,45728,0.00427777792319,0.723089589660863,0.068444446771032,0.723089589660863,0.068444446771032,96.0,223.0
39,16,50.912038,-114.694114,50.90974389480583,-114.69500405150077,0.022079861093447,16,46205.0,50.75,-114.75,0.0625,46205,0.005477777602896,0.248089314498522,0.087644441646335,0.248089314498522,0.087644441646335,97.0,221.0
40,16,50.912038,-114.694114,50.90974389480583,-114.69500405150077,0.022079861093447,16,45726.0,51.0,-114.75,0.0625,45726,0.014035416988981,0.635666000323971,0.224566671823688,0.635666000323971,0.224566671823688,96.0,221.0
41,16,50.912038,-114.694114,50.90974389480583,-114.69500405150077,0.022079861093447,16,45727.0,51.0,-114.5,0.0625,45727,0.002566666501571,0.116244685177507,0.041066664025134,0.116244685177507,0.041066664025134,96.0,222.0
42,17,51.027998,-114.238248,51.02812401924084,-114.23785506819787,0.009572916659008,17,45728.0,51.0,-114.25,0.0625,45728,0.009572916659008,1.0,0.153166666544135,1.0,0.153166666544135,96.0,223.0
43,18,50.547374,-114.033545,50.54108202873088,-114.04791161000374,0.018073611096652,18,46687.0,50.5,-114.0,0.0625,46687,0.015431944189431,0.853838455796455,0.246911107030903,0.853838455796454,0.246911107030903,98.0,224.0
44,18,50.547374,-114.033545,50.54108202873088,-114.04791161000374,0.018073611096652,18,46688.0,50.5,-113.75,0.0625,46688,1.388884804e-06,7.6846004763e-05,2.2222156871e-05,7.6846004763e-05,2.2222156871e-05,98.0,225.0
45,18,50.547374,-114.033545,50.54108202873088,-114.04791161000374,0.018073611096652,18,46686.0,50.5,-114.25,0.0625,46686,0.002640278022417,0.146084698198784,0.042244448358667,0.146084698198783,0.042244448358667,98.0,223.0
46,19,50.721423,-114.110602,50.716939625270584,-114.1112896420926,0.032190972196469,19,46208.0,50.75,-114.0,0.0625,46208,0.017573610748467,0.545917365937608,0.281177771975476,0.545917365937608,0.281174647812725,97.0,224.0
47,19,50.721423,-114.110602,50.716939625270584,-114.1112896420926,0.032190972196469,19,46207.0,50.75,-114.25,0.0625,46207,0.014492361487477,0.450199559026255,0.23187778379963,0.450199559026255,0.231877783799631,97.0,223.0
48,19,50.721423,-114.110602,50.716939625270584,-114.1112896420926,0.032190972196469,19,46686.0,50.5,-114.25,0.0625,46686,0.000124999960525,0.003883075036138,0.001999999368402,0.003883075036138,0.001999999368402,98.0,223.0
49,20,50.640856,-114.525462,50.63193528964241,-114.53147880076567,0.048580555516691,20,46207.0,50.75,-114.25,0.0625,46207,0.00894305560465,0.184087141646157,0.143088889674402,0.184087141646157,0.143088889674402,97.0,223.0
50,20,50.640856,-114.525462,50.63193528964241,-114.53147880076567,0.048580555516691,20,46686.0,50.5,-114.25,0.0625,46686,0.001061110890888,0.021842296359149,0.016977774254203,0.021842296359149,0.016977774254203,98.0,223.0
51,20,50.640856,-114.525462,50.63193528964241,-114.53147880076567,0.048580555516691,20,46684.0,50.5,-114.75,0.0625,46684,0.006062500122359,0.124792729475403,0.097000001957748,0.124792729475403,0.09928425477974,98.0,221.0
52,20,50.640856,-114.525462,50.63193528964241,-114.53147880076567,0.048580555516691,20,46685.0,50.5,-114.5,0.0625,46685,0.011566666052497,0.238092502843511,0.185066656839953,0.23809250284351,0.185066656839953,98.0,222.0
53,20,50.640856,-114.525462,50.63193528964241,-114.53147880076567,0.048580555516691,20,46206.0,50.75,-114.5,0.0625,46206,0.011359028228565,0.233818409603444,0.181744451657032,0.233818409603443,0.181744451657032,97.0,222.0
54,20,50.640856,-114.525462,50.63193528964241,-114.53147880076567,0.048580555516691,20,46205.0,50.75,-114.75,0.0625,46205,0.009588194617732,0.197366920072337,0.15341111388372,0.197366920072337,0.15341111388372,97.0,221.0
55,21,50.806748,-113.534063,50.80265944397602,-113.53316526579297,0.005030555551531,21,46209.0,50.75,-113.75,0.0625,46209,9.722225402e-05,0.019326345375514,0.001555556064314,0.019326345375514,0.001555538780549,97.0,225.0
56,21,50.806748,-113.534063,50.80265944397602,-113.53316526579297,0.005030555551531,21,46210.0,50.75,-113.5,0.0625,46210,0.004933333297511,0.980673654624486,0.078933332760182,0.980673654624486,0.078933332760182,97.0,226.0
57,22,50.769577,-112.594406,50.77044493331629,-112.60050024055907,0.007810075921437,22,46213.0,50.75,-112.75,0.0625,46213,0.002577919764231,0.330076146526969,0.041246716227698,0.330076146526969,0.042297676082573,97.0,229.0
58,22,50.769577,-112.594406,50.77044493331629,-112.60050024055907,0.007810075921437,22,46214.0,50.75,-112.5,0.0625,46214,0.005232156157206,0.66992385347303,0.0837144985153,0.669923853473031,0.200914833190688,97.0,230.0
59,23,50.087364,-111.593842,50.09099361853964,-111.6050716424679,0.013272222211604,23,47655.0,50.0,-111.5,0.0625,47655,0.007670832946154,0.577961461453501,0.122733327138472,0.577961461453501,0.173876077844446,100.0,234.0
60,23,50.087364,-111.593842,50.09099361853964,-111.6050716424679,0.013272222211604,23,47176.0,50.25,-111.5,0.0625,47176,0.000845833420573,0.06372960059646,0.013533334729168,0.063729600596459,0.018404632086326,99.0,234.0
61,23,50.087364,-111.593842,50.09099361853964,-111.6050716424679,0.013272222211604,23,47175.0,50.25,-111.75,0.0625,47175,0.00070208347398,0.052898713025312,0.011233335583677,0.052898713025312,0.011240454527002,99.0,233.0
62,23,50.087364,-111.593842,50.09099361853964,-111.6050716424679,0.013272222211604,23,47654.0,50.0,-111.75,0.0625,47654,0.004053472370897,0.305410224924728,0.064855557934353,0.305410224924728,0.064855557934353,100.0,233.0
63,24,51.661597,-116.39039,51.65756759068387,-116.38211990420001,0.024703398733879,24,44762.0,51.5,-116.25,0.0625,44762,0.003409027646801,0.137998324988606,0.054544442348814,0.137998324988606,0.06209730332045,94.0,215.0
64,24,51.661597,-116.39039,51.65756759068387,-116.38211990420001,0.024703398733879,24,44283.0,51.75,-116.25,0.0625,44283,0.009019717408535,0.365120504498262,0.144315478536567,0.365120504498262,0.515904423148315,93.0,215.0
65,24,51.661597,-116.39039,51.65756759068387,-116.38211990420001,0.024703398733879,24,44761.0,51.5,-116.5,0.0625,44761,8.7809976626e-05,0.003554570671509,0.001404959626017,0.003554570671509,0.010877343253696,94.0,214.0
66,24,51.661597,-116.39039,51.65756759068387,-116.38211990420001,0.024703398733879,24,44282.0,51.75,-116.5,0.0625,44282,0.012186843701916,0.493326599841623,0.194989499230659,0.493326599841623,0.979460900484306,93.0,214.0
67,25,51.590304,-116.409911,51.59167988910072,-116.41080766218796,0.008867323438066,25,44762.0,51.5,-116.25,0.0625,44762,0.001827083235454,0.206046756748608,0.02923333176727,0.206046756748608,0.033281320546107,94.0,215.0
68,25,51.590304,-116.409911,51.59167988910072,-116.41080766218796,0.008867323438066,25,44761.0,51.5,-116.5,0.0625,44761,0.006784684520136,0.765133308548362,0.108554952322173,0.765133308548362,0.840443708439261,94.0,214.0
69,25,51.590304,-116.409911,51.59167988910072,-116.41080766218796,0.008867323438066,25,44282.0,51.75,-116.5,0.0625,44282,0.000255555679101,0.02881993432242,0.004088890865611,0.02881993432242,0.020539099515694,93.0,214.0
70,25,51.590304,-116.409911,51.59167988910072,-116.41080766218796,0.008867323438066,25,44283.0,51.75,-116.25,0.0625,44283,3.375e-12,3.80609e-10,5.4e-11,3.80609e-10,1.93041e-10,93.0,215.0
71,26,51.485761,-116.321848,51.482650109314434,-116.31900422653995,0.008759711590328,26,44762.0,51.5,-116.25,0.0625,44762,0.007559464924288,0.862981029265205,0.120951438788604,0.862981029265205,0.13769978861401,94.0,215.0
72,26,51.485761,-116.321848,51.482650109314434,-116.31900422653995,0.008759711590328,26,44761.0,51.5,-116.5,0.0625,44761,0.00120024666604,0.137018970734795,0.019203946656647,0.137018970734795,0.148678948307043,94.0,214.0
73,27,51.518894,-116.277158,51.524047866294744,-116.28112608968719,0.010928472213479,27,44762.0,51.5,-116.25,0.0625,44762,0.010928472213479,1.0,0.17485555541567,1.0,0.199068099229521,94.0,215.0
74,28,51.540156,-116.19577,51.54690983303619,-116.19610952185364,0.018068055541101,28,44283.0,51.75,-116.25,0.0625,44283,0.001111805667166,0.061534328618627,0.017788890674651,0.061534328618627,0.063592398230721,93.0,215.0
75,28,51.540156,-116.19577,51.54690983303619,-116.19610952185364,0.018068055541101,28,44763.0,51.5,-116.0,0.0625,44763,0.000366666605665,0.02029363950263,0.005866665690634,0.02029363950263,0.011034318655383,94.0,216.0
76,28,51.540156,-116.19577,51.54690983303619,-116.19610952185364,0.018068055541101,28,44762.0,51.5,-116.25,0.0625,44762,0.016589583268271,0.918172031878743,0.265433332292332,0.918172031878743,0.302188333713399,94.0,215.0
77,29,51.616307,-116.138728,51.610921438792,-116.13414496871646,0.021056615384803,29,44762.0,51.5,-116.25,0.0625,44762,0.003315277841919,0.157445903880219,0.053044445470696,0.157445903880219,0.060389599343488,94.0,215.0
78,29,51.616307,-116.138728,51.610921438792,-116.13414496871646,0.021056615384803,29,44763.0,51.5,-116.0,0.0625,44763,0.007809769022129,0.37089384402043,0.124956304354072,0.37089384402043,0.235024075505645,94.0,216.0
79,29,51.616307,-116.138728,51.610921438792,-116.13414496871646,0.021056615384803,29,44283.0,51.75,-116.25,0.0625,44283,0.00735178778981,0.349143851253319,0.117628604636963,0.349143851253319,0.420503178427923,93.0,215.0
80,29,51.616307,-116.138728,51.610921438792,-116.13414496871646,0.021056615384803,29,44284.0,51.75,-116.0,0.0625,44284,0.002579780730945,0.122516400846031,0.041276491695125,0.122516400846031,1.0,93.0,216.0
81,30,51.406179,-116.179142,51.40251959584031,-116.18069525727516,0.018908928561442,30,44762.0,51.5,-116.25,0.0625,44762,0.009647027900784,0.510183740418598,0.154352446412551,0.510183740418598,0.175725890125304,94.0,215.0
82,30,51.406179,-116.179142,51.40251959584031,-116.18069525727516,0.018908928561442,30,44763.0,51.5,-116.0,0.0625,44763,0.004770138747447,0.252269118895169,0.076322219959146,0.25226911889517,0.143550653799824,94.0,216.0
83,30,51.406179,-116.179142,51.40251959584031,-116.18069525727516,0.018908928561442,30,45242.0,51.25,-116.0,0.0625,45242,0.00012291662336,0.006500454161672,0.00196666597376,0.006500454161672,0.002486582432545,95.0,216.0
84,30,51.406179,-116.179142,51.40251959584031,-116.18069525727516,0.018908928561442,30,45241.0,51.25,-116.25,0.0625,45241,0.004368845289851,0.23104668652456,0.069901524637612,0.23104668652456,0.339207746264504,95.0,215.0
85,31,51.325,-116.178773,51.325316806821604,-116.18248356934443,0.007709869443656,31,45241.0,51.25,-116.25,0.0625,45241,0.007414036154477,0.961629273836383,0.118624578471626,0.961629273836383,0.575643752028923,95.0,215.0
86,31,51.325,-116.178773,51.325316806821604,-116.18248356934443,0.007709869443656,31,45242.0,51.25,-116.0,0.0625,45242,0.00029583328918,0.038370726163617,0.004733332626876,0.038370726163617,0.00598465723942,95.0,216.0
87,32,51.357748,-116.095025,51.35268459418695,-116.09768103954599,0.003418749997265,32,45242.0,51.25,-116.0,0.0625,45242,0.00256458321249,0.750152311383207,0.041033331399836,0.750152311383207,0.051881083198158,95.0,216.0
88,32,51.357748,-116.095025,51.35268459418695,-116.09768103954599,0.003418749997265,32,44763.0,51.5,-116.0,0.0625,44763,0.000563888945229,0.164940093800476,0.009022223123669,0.164940093800476,0.016969449117489,94.0,216.0
89,32,51.357748,-116.095025,51.35268459418695,-116.09768103954599,0.003418749997265,32,45241.0,51.25,-116.25,0.0625,45241,0.000290277839546,0.084907594816316,0.004644445432737,0.084907594816316,0.022537875619376,95.0,215.0
90,33,51.424704,-116.019156,51.4326640821781,-116.01999546717,0.016057579430321,33,45242.0,51.25,-116.0,0.0625,45242,0.001280555428865,0.079747725018054,0.020488886861837,0.079747725018054,0.025905419025297,95.0,216.0
91,33,51.424704,-116.019156,51.4326640821781,-116.01999546717,0.016057579430321,33,44763.0,51.5,-116.0,0.0625,44763,0.014777024001457,0.920252274981948,0.236432384023306,0.920252274981946,0.444693869284254,94.0,216.0
92,34,51.280318,-116.002241,51.278497490859934,-115.9878019425737,0.032732529153224,34,45242.0,51.25,-116.0,0.0625,45242,0.029831687730443,0.911377412689323,0.47730700368709,0.911377412689324,0.603489980573514,95.0,216.0
93,34,51.280318,-116.002241,51.278497490859934,-115.9878019425737,0.032732529153224,34,45243.0,51.25,-115.75,0.0625,45243,0.002040277641395,0.062331805521166,0.032644442262314,0.062331805521166,0.032644442262314,95.0,217.0
94,34,51.280318,-116.002241,51.278497490859934,-115.9878019425737,0.032732529153224,34,44763.0,51.5,-116.0,0.0625,44763,5.4166693207e-05,0.001654827616682,0.000866667091306,0.001654827616682,0.001630070871239,94.0,216.0
95,34,51.280318,-116.002241,51.278497490859934,-115.9878019425737,0.032732529153224,34,45241.0,51.25,-116.25,0.0625,45241,0.00080639708818,0.024635954172828,0.012902353410874,0.024635954172828,0.062610626087198,95.0,215.0
96,35,51.338403,-115.87201,51.33733265291633,-115.87100131843592,0.015888595938492,35,45243.0,51.25,-115.75,0.0625,45243,0.008232638799802,0.518147659596385,0.131722220796837,0.518147659596387,0.131722220796837,95.0,217.0
97,35,51.338403,-115.87201,51.33733265291633,-115.87100131843592,0.015888595938492,35,45242.0,51.25,-116.0,0.0625,45242,0.004390277775808,0.276316283251432,0.070244444412927,0.276316283251433,0.08881457440743,95.0,216.0
98,35,51.338403,-115.87201,51.33733265291633,-115.87100131843592,0.015888595938492,35,44763.0,51.5,-116.0,0.0625,44763,0.003265679362882,0.205536057152179,0.052250869806109,0.20553605715218,0.09827605284924,94.0,216.0
99,36,51.153506,-115.917057,51.15564966537034,-115.90808498246403,0.019462513183464,36,45722.0,51.0,-115.75,0.0625,45722,0.000812423533135,0.041742992052304,0.012998776530163,0.041742992052304,0.038538828785713,96.0,217.0
100,36,51.153506,-115.917057,51.15564966537034,-115.90808498246403,0.019462513183464,36,45721.0,51.0,-116.0,0.0625,45721,0.002870658510671,0.147496804940365,0.045930536170731,0.147496804940365,1.0,96.0,216.0
101,36,51.153506,-115.917057,51.15564966537034,-115.90808498246403,0.019462513183464,36,45243.0,51.25,-115.75,0.0625,45243,0.00530277768866,0.272461096810713,0.084844443018553,0.272461096810713,0.084844443018553,95.0,217.0
102,36,51.153506,-115.917057,51.15564966537034,-115.90808498246403,0.019462513183464,36,45242.0,51.25,-116.0,0.0625,45242,0.010476653450999,0.538299106196616,0.167626455215978,0.538299106196617,0.211940921504298,95.0,216.0
103,37,51.104722,-115.78328,51.1068892038598,-115.77672842675268,0.008452647455948,37,45243.0,51.25,-115.75,0.0625,45243,0.001647916895264,0.194958668731019,0.02636667032423,0.19495866873102,0.02636667032423,95.0,217.0
104,37,51.104722,-115.78328,51.1068892038598,-115.77672842675268,0.008452647455948,37,45722.0,51.0,-115.75,0.0625,45722,0.006804730560684,0.805041331268979,0.108875688970945,0.80504133126898,0.322795112789364,96.0,217.0
105,38,51.03811,-115.646715,51.04230158964513,-115.64813556746408,0.021060130296141,38,45722.0,51.0,-115.75,0.0625,45722,0.013189686762997,0.626287044644444,0.211034988207957,0.626287044644444,0.625677444294001,96.0,217.0
106,38,51.03811,-115.646715,51.04230158964513,-115.64813556746408,0.021060130296141,38,45723.0,51.0,-115.5,0.0625,45723,0.007612804561795,0.361479461653173,0.121804872988718,0.361479461653173,0.126854625156932,96.0,218.0
107,38,51.03811,-115.646715,51.04230158964513,-115.64813556746408,0.021060130296141,38,45243.0,51.25,-115.75,0.0625,45243,0.000257638971349,0.012233493702383,0.004122223541587,0.012233493702383,0.004122223541587,95.0,217.0
108,39,51.203382,-115.773421,51.19893507818807,-115.76342854173073,0.01659097220895,39,45242.0,51.25,-116.0,0.0625,45242,0.000102777794196,0.00619480238417,0.001644444707131,0.00619480238417,0.002079177335959,95.0,216.0
109,39,51.203382,-115.773421,51.19893507818807,-115.76342854173073,0.01659097220895,39,45243.0,51.25,-115.75,0.0625,45243,0.016488194414754,0.99380519761583,0.263811110636062,0.99380519761583,0.263811110636062,95.0,217.0
110,40,51.146034,-115.675919,51.145636380503355,-115.6755593970996,0.001029861110287,40,45243.0,51.25,-115.75,0.0625,45243,0.001029861110287,1.0,0.016477777764595,1.0,0.016477777764595,95.0,217.0
111,41,51.409361,-115.749591,51.40697074319244,-115.75520494075825,0.032958588507483,41,44763.0,51.5,-116.0,0.0625,44763,0.001622321946986,0.049223040805197,0.025957151151769,0.049223040805197,0.048821509916926,94.0,216.0
112,41,51.409361,-115.749591,51.40697074319244,-115.75520494075825,0.032958588507483,41,44764.0,51.5,-115.75,0.0625,44764,0.02331960037041,0.707542447247566,0.373113605926563,0.707542447247564,0.971760344338792,94.0,217.0
113,41,51.409361,-115.749591,51.40697074319244,-115.75520494075825,0.032958588507483,41,45243.0,51.25,-115.75,0.0625,45243,0.006279166308603,0.1905168453187,0.100466660937646,0.1905168453187,0.100466660937646,95.0,217.0
114,41,51.409361,-115.749591,51.40697074319244,-115.75520494075825,0.032958588507483,41,45244.0,51.25,-115.5,0.0625,45244,0.000825694355075,0.025052479261602,0.013211109681207,0.025052479261602,0.013211109681207,95.0,218.0
115,41,51.409361,-115.749591,51.40697074319244,-115.75520494075825,0.032958588507483,41,44765.0,51.5,-115.5,0.0625,44765,0.000545138867786,0.016540115717088,0.00872222188457,0.016540115717088,0.037834420170519,94.0,218.0
116,41,51.409361,-115.749591,51.40697074319244,-115.75520494075825,0.032958588507483,41,45242.0,51.25,-116.0,0.0625,45242,0.000366666658624,0.011125071649849,0.005866666537978,0.011125071649849,0.007417604283378,95.0,216.0
117,42,51.403077,-115.561187,51.40006096618545,-115.55715921322539,0.012160058041921,42,45244.0,51.25,-115.5,0.0625,45244,0.002856249822507,0.234887844503736,0.045699997160115,0.234887844503737,0.045699997160115,95.0,218.0
118,42,51.403077,-115.561187,51.40006096618545,-115.55715921322539,0.012160058041921,42,44764.0,51.5,-115.75,0.0625,44764,0.00067767478726,0.055729568471106,0.010842796596158,0.055729568471106,0.028239655661208,94.0,217.0
119,42,51.403077,-115.561187,51.40006096618545,-115.55715921322539,0.012160058041921,42,44765.0,51.5,-115.5,0.0625,44765,0.008626133432154,0.709382587025155,0.138018134914467,0.709382587025157,0.598681869896332,94.0,218.0
120,43,51.262542,-115.66385,51.262023998675765,-115.66810540990922,0.01806249998555,43,45243.0,51.25,-115.75,0.0625,45243,0.013179166810708,0.72964245377167,0.21086666897132,0.72964245377167,0.21086666897132,95.0,217.0
121,43,51.262542,-115.66385,51.262023998675765,-115.66810540990922,0.01806249998555,43,45244.0,51.25,-115.5,0.0625,45244,0.004883333174843,0.27035754622833,0.078133330797481,0.27035754622833,0.078133330797481,95.0,218.0
122,44,51.150329,-115.615396,51.15058180681448,-115.61575987999016,0.009619444436749,44,45244.0,51.25,-115.5,0.0625,45244,0.003688194410159,0.383410334599936,0.05901111056255,0.383410334599937,0.05901111056255,95.0,218.0
